customer_reference,account_num,bank_code,amount,currency,transaction_date,recurring_type,frequency_value,start_date,user,csv
CUST0001,ACC100001,BANK186,4865.59,MYR,2025-01-02,WEEKLY,2,2025-01-07,bank_admin,batch_upload_invalid_test
CUST0002,ACC100002,BANK805,152.94,MYR,2025-01-03,MONTHLY,6,2025-01-08,bank_admin,batch_upload_invalid_test
CUST0003,ACC100003,BANK868,3376.14,MYR,2025-01-04,MONTHLY,3,2025-01-09,bank_admin,batch_upload_invalid_test
CUST0004,ACC100004,BANK585,1909.59,MYR,2025-01-05,WEEKLY,1,2025-01-10,bank_admin,batch_upload_invalid_test
CUST0005,ACC100005,BANK278,1769.98,MYR,2025-01-06,WEEKLY,1,2025-01-11,bank_admin,batch_upload_invalid_test
CUST0006,ACC100006,BANK440,4513.7,MYR,2025-01-07,YEARLY,6,2025-01-12,bank_admin,batch_upload_invalid_test
CUST0007,ACC100007,BANK663,2016.32,MYR,2025-01-08,MONTHLY,12,2025-01-13,bank_admin,batch_upload_invalid_test
CUST0008,ACC100008,BANK912,4227.73,MYR,2025-01-09,YEARLY,1,2025-01-14,bank_admin,batch_upload_invalid_test
CUST0009,ACC100009,BANK157,4416.14,MYR,2025-01-10,YEARLY,12,2025-01-15,bank_admin,batch_upload_invalid_test
CUST0010,ACC100010,BANK351,456.52,MYR,2025-01-11,WEEKLY,6,2025-01-16,bank_admin,batch_upload_invalid_test
CUST0011,ACC100011,BANK981,2044.9,MYR,2025-01-12,MONTHLY,12,2025-01-17,bank_admin,batch_upload_invalid_test
CUST0012,ACC100012,BANK202,2730.31,MYR,2025-01-13,WEEKLY,6,2025-01-18,bank_admin,batch_upload_invalid_test
CUST0013,ACC100013,BANK516,1016.09,MYR,2025-01-14,YEARLY,1,2025-01-19,bank_admin,batch_upload_invalid_test
CUST0014,ACC100014,BANK238,1134.97,MYR,2025-01-15,MONTHLY,12,2025-01-20,bank_admin,batch_upload_invalid_test
CUST0015,ACC100015,BANK730,1183.87,MYR,2025-01-16,MONTHLY,12,2025-01-21,bank_admin,batch_upload_invalid_test
CUST0016,ACC100016,BANK204,4124.23,MYR,2025-01-17,MONTHLY,2,2025-01-22,bank_admin,batch_upload_invalid_test
CUST0017,ACC100017,BANK256,1015.43,MYR,2025-01-18,YEARLY,3,2025-01-23,bank_admin,batch_upload_invalid_test
CUST0018,ACC100018,BANK885,4385.81,MYR,2025-01-19,WEEKLY,3,2025-01-24,bank_admin,batch_upload_invalid_test
CUST0019,ACC100019,BANK187,1763.33,MYR,2025-01-20,YEARLY,1,2025-01-25,bank_admin,batch_upload_invalid_test
CUST0020,ACC100020,BANK428,4039.34,MYR,2025-01-21,YEARLY,1,2025-01-26,bank_admin,batch_upload_invalid_test
CUST0021,ACC100021,BANK263,3290.63,MYR,2025-01-22,WEEKLY,12,2025-01-27,bank_admin,batch_upload_invalid_test
CUST0022,ACC100022,BANK940,4490.45,MYR,2025-01-23,WEEKLY,3,2025-01-28,bank_admin,batch_upload_invalid_test
CUST0023,ACC100023,BANK183,3074.5,MYR,2025-01-24,WEEKLY,3,2025-01-29,bank_admin,batch_upload_invalid_test
CUST0024,ACC100024,BANK385,909.85,MYR,2025-01-25,YEARLY,1,2025-01-30,bank_admin,batch_upload_invalid_test
CUST0025,ACC100025,,,MYR,2025-01-26,WEEKLY,12,2025-01-31,bank_admin,batch_upload_invalid_test
CUST0026,ACC100026,BANK805,3501.83,MYR,2025-01-27,YEARLY,3,2025-02-01,bank_admin,batch_upload_invalid_test
CUST0027,ACC100027,BANK143,215.75,MYR,2025-01-28,MONTHLY,12,2025-02-02,bank_admin,batch_upload_invalid_test
CUST0028,ACC100028,BANK305,4857.02,MYR,2025-01-29,MONTHLY,1,2025-02-03,bank_admin,batch_upload_invalid_test
CUST0029,ACC100029,BANK757,887.07,MYR,2025-01-30,MONTHLY,2,2025-02-04,bank_admin,batch_upload_invalid_test
CUST0030,ACC100030,BANK567,1571.32,MYR,2025-01-01,YEARLY,1,2025-01-06,bank_admin,batch_upload_invalid_test
CUST0031,ACC100031,BANK689,2872.29,MYR,2025-01-02,YEARLY,3,2025-01-07,bank_admin,batch_upload_invalid_test
CUST0032,ACC100032,BANK660,726.63,MYR,2025-01-03,MONTHLY,6,2025-01-08,bank_admin,batch_upload_invalid_test
CUST0033,ACC100033,BANK463,2286.42,MYR,2025-01-04,WEEKLY,12,2025-01-09,bank_admin,batch_upload_invalid_test
CUST0034,ACC100034,BANK385,4400.94,MYR,2025-01-05,MONTHLY,3,2025-01-10,bank_admin,batch_upload_invalid_test
CUST0035,ACC100035,BANK409,4110.55,MYR,2025-01-06,MONTHLY,1,2025-01-11,bank_admin,batch_upload_invalid_test
CUST0036,ACC100036,BANK561,3344.18,MYR,2025-01-07,MONTHLY,6,2025-01-12,bank_admin,batch_upload_invalid_test
CUST0037,ACC100037,BANK901,2254.07,MYR,2025-01-08,YEARLY,1,2025-01-13,bank_admin,batch_upload_invalid_test
CUST0038,ACC100038,BANK481,1765.77,MYR,2025-01-09,WEEKLY,3,2025-01-14,bank_admin,batch_upload_invalid_test
CUST0039,ACC100039,BANK645,3665.76,MYR,2025-01-10,YEARLY,3,2025-01-15,bank_admin,batch_upload_invalid_test
CUST0040,ACC100040,BANK815,,MYR,2025-01-11,MONTHLY,1,2025-01-16,bank_admin,batch_upload_invalid_test
CUST0041,ACC100041,BANK182,892.66,MYR,2025-01-12,MONTHLY,1,2025-01-17,bank_admin,batch_upload_invalid_test
CUST0042,ACC100042,BANK688,946.97,MYR,2025-01-13,MONTHLY,12,2025-01-18,bank_admin,batch_upload_invalid_test
CUST0043,ACC100043,BANK918,4684.43,MYR,2025-01-14,WEEKLY,1,2025-01-19,bank_admin,batch_upload_invalid_test
CUST0044,ACC100044,BANK287,2955.25,MYR,2025-01-15,YEARLY,6,2025-01-20,bank_admin,batch_upload_invalid_test
CUST0045,ACC100045,BANK561,3163.49,MYR,2025-01-16,WEEKLY,2,2025-01-21,bank_admin,batch_upload_invalid_test
CUST0046,ACC100046,BANK974,4533.97,MYR,2025-01-17,WEEKLY,12,2025-01-22,bank_admin,batch_upload_invalid_test
CUST0047,ACC100047,BANK524,1204.83,MYR,2025-01-18,YEARLY,12,2025-01-23,bank_admin,batch_upload_invalid_test
CUST0048,ACC100048,BANK587,3536.36,MYR,2025-01-19,MONTHLY,12,2025-01-24,bank_admin,batch_upload_invalid_test
CUST0049,ACC100049,BANK417,3183.92,MYR,2025-01-20,WEEKLY,2,2025-01-25,bank_admin,batch_upload_invalid_test
CUST0050,ACC100050,,,MYR,2025-01-21,WEEKLY,3,2025-01-26,bank_admin,batch_upload_invalid_test
CUST0051,ACC100051,BANK752,2229.36,MYR,2025-01-22,WEEKLY,6,2025-01-27,bank_admin,batch_upload_invalid_test
CUST0052,ACC100052,BANK634,2417.53,MYR,2025-01-23,MONTHLY,6,2025-01-28,bank_admin,batch_upload_invalid_test
CUST0053,ACC100053,BANK385,2655.51,MYR,2025-01-24,YEARLY,2,2025-01-29,bank_admin,batch_upload_invalid_test
CUST0054,ACC100054,BANK706,2367.26,MYR,2025-01-25,WEEKLY,3,2025-01-30,bank_admin,batch_upload_invalid_test
CUST0055,ACC100055,BANK587,1631.17,MYR,2025-01-26,YEARLY,2,2025-01-31,bank_admin,batch_upload_invalid_test
CUST0056,ACC100056,BANK243,2818.88,MYR,2025-01-27,MONTHLY,6,2025-02-01,bank_admin,batch_upload_invalid_test
CUST0057,ACC100057,BANK800,3440.28,MYR,2025-01-28,MONTHLY,12,2025-02-02,bank_admin,batch_upload_invalid_test
CUST0058,ACC100058,BANK221,700.16,MYR,2025-01-29,MONTHLY,2,2025-02-03,bank_admin,batch_upload_invalid_test
CUST0059,ACC100059,BANK413,2981.19,MYR,2025-01-30,MONTHLY,1,2025-02-04,bank_admin,batch_upload_invalid_test
CUST0060,ACC100060,BANK725,4203.53,MYR,2025-01-01,YEARLY,12,2025-01-06,bank_admin,batch_upload_invalid_test
CUST0061,ACC100061,BANK159,270.05,MYR,2025-01-02,YEARLY,12,2025-01-07,bank_admin,batch_upload_invalid_test
CUST0062,ACC100062,BANK783,1470.52,MYR,2025-01-03,WEEKLY,1,2025-01-08,bank_admin,batch_upload_invalid_test
CUST0063,ACC100063,BANK818,4789.28,MYR,2025-01-04,YEARLY,6,2025-01-09,bank_admin,batch_upload_invalid_test
CUST0064,ACC100064,BANK897,2968.56,MYR,2025-01-05,WEEKLY,6,2025-01-10,bank_admin,batch_upload_invalid_test
CUST0065,ACC100065,BANK235,2619.33,MYR,2025-01-06,WEEKLY,3,2025-01-11,bank_admin,batch_upload_invalid_test
CUST0066,ACC100066,BANK512,4097.53,MYR,2025-01-07,WEEKLY,3,2025-01-12,bank_admin,batch_upload_invalid_test
CUST0067,ACC100067,BANK985,2404.17,MYR,2025-01-08,WEEKLY,12,2025-01-13,bank_admin,batch_upload_invalid_test
CUST0068,ACC100068,BANK162,4463.74,MYR,2025-01-09,WEEKLY,1,2025-01-14,bank_admin,batch_upload_invalid_test
CUST0069,ACC100069,BANK890,4949.81,MYR,2025-01-10,WEEKLY,1,2025-01-15,bank_admin,batch_upload_invalid_test
CUST0070,ACC100070,BANK898,3791.07,MYR,2025-01-11,MONTHLY,3,2025-01-16,bank_admin,batch_upload_invalid_test
CUST0071,ACC100071,BANK215,4301.52,MYR,2025-01-12,MONTHLY,2,2025-01-17,bank_admin,batch_upload_invalid_test
CUST0072,ACC100072,BANK367,4821.06,MYR,2025-01-13,WEEKLY,12,2025-01-18,bank_admin,batch_upload_invalid_test
CUST0073,ACC100073,BANK807,259.53,MYR,2025-01-14,MONTHLY,1,2025-01-19,bank_admin,batch_upload_invalid_test
CUST0074,ACC100074,BANK258,154.97,MYR,2025-01-15,YEARLY,6,2025-01-20,bank_admin,batch_upload_invalid_test
CUST0075,ACC100075,,,MYR,2025-01-16,YEARLY,6,2025-01-21,bank_admin,batch_upload_invalid_test
CUST0076,ACC100076,BANK394,2897.22,MYR,2025-01-17,WEEKLY,12,2025-01-22,bank_admin,batch_upload_invalid_test
CUST0077,ACC100077,BANK645,4955.8,MYR,2025-01-18,WEEKLY,2,2025-01-23,bank_admin,batch_upload_invalid_test
CUST0078,ACC100078,BANK704,4750.57,MYR,2025-01-19,MONTHLY,6,2025-01-24,bank_admin,batch_upload_invalid_test
CUST0079,ACC100079,BANK710,1410.09,MYR,2025-01-20,YEARLY,3,2025-01-25,bank_admin,batch_upload_invalid_test
CUST0080,ACC100080,BANK694,,MYR,2025-01-21,MONTHLY,2,2025-01-26,bank_admin,batch_upload_invalid_test
CUST0081,ACC100081,BANK871,971.53,MYR,2025-01-22,MONTHLY,2,2025-01-27,bank_admin,batch_upload_invalid_test
CUST0082,ACC100082,BANK879,3895.22,MYR,2025-01-23,YEARLY,12,2025-01-28,bank_admin,batch_upload_invalid_test
CUST0083,ACC100083,BANK331,704.31,MYR,2025-01-24,YEARLY,6,2025-01-29,bank_admin,batch_upload_invalid_test
